"","SampleNumber","Date","re","cv"
"284",5,1599868800,0.207392079094097,0.469057244150747
"285",5,1599868800,0.0531890917286455,0.543423191352061
"286",6,1599868800,0.0430788330229671,0.438751473748082
"287",6,1599868800,0.184214235377026,0.382686320342782
"288",6,1599868800,0.0342528735632184,0.497118067832021
"289",7,1599868800,0.0577677061976188,0.395684164120002
"290",7,1599868800,0.00878185997049841,0.488468114586206
"291",7,1599868800,0.0951413889658144,0.440420506829541
"292",8,1599868800,0.0546272855133615,0.444431556620023
"293",8,1599868800,0.0617634979306859,0.49862707252854
"294",8,1599868800,0.0481207692525562,0.45557425182518
"295",9,1599868800,0,0.472684711615828
"296",9,1599868800,0,0.472684711615828
"297",9,1599868800,0,0.472684711615828
"298",1,1600473600,0.371140939597316,NA
"299",1,1600473600,0.0240601503759399,NA
"300",1,1600473600,0.115584415584416,NA
"301",2,1600473600,0.983495145631068,0.631590523001576
"302",2,1600473600,0.341498791297341,0.504832077462757
"303",2,1600473600,0.347284345047923,0.487971452831611
"304",3,1600473600,0.771387283236994,0.683396155282789
"305",3,1600473600,0.284830805134189,0.412791869642108
"306",3,1600473600,0.0592478894858019,1.05463122442922
"307",4,1600473600,0.206986899563319,0.60570000386823
"308",4,1600473600,0.724050632911392,0.651868009599176
"309",4,1600473600,0.230722891566265,1.03013809609403
"310",5,1600473600,0.0541795665634675,0.872759008626469
"311",5,1600473600,0.133955065705808,0.608748602011327
"312",5,1600473600,0.254107338444688,0.604083990854512
"313",6,1600473600,0.00187985288107897,0.732870176110241
"314",6,1600473600,0.0454584221748402,0.647091824260078
"315",6,1600473600,0.130811808118081,0.856088362068942
"316",7,1600473600,0.162210483543275,0.690868005455818
"317",7,1600473600,0.0806171648987464,0.726600453373261
"318",7,1600473600,0.141596638655462,0.64973504365754
"319",8,1600473600,0.119870759289176,0.630559408520008
"320",8,1600473600,0.110288513881328,0.64006494425818
"321",8,1600473600,0.203091645196908,0.689081381061862
"322",9,1600473600,0.0527047913446676,0.674866319864296
"323",9,1600473600,0.133600493218249,0.704382556432111
"324",9,1600473600,0.176015350175887,0.633677171812359
"325",1,1601078400,0.628012407539967,NA
"326",1,1601078400,0.153788912315515,NA
"327",1,1601078400,0.0644453585630057,NA
"328",2,1601078400,0.185993796230017,0.18373640770989
"329",2,1601078400,0.18826192964124,0.382000215123767
"330",2,1601078400,0.044263902507354,0.869447167005955
"331",3,1601078400,0.21351725197879,0.322871070649329
"332",3,1601078400,0.214633277949205,0.485087964627552
"333",3,1601078400,0.043281140453377,0.158541605118421
"334",4,1601078400,0.0759437954968682,0.500423225153005
"335",4,1601078400,0.468970342860218,0.41036588288698
"336",4,1601078400,0.160375326872789,0.341013556580309
"337",5,1601078400,0.127605165579849,0.416857564558864
"338",5,1601078400,0.00245621216994645,0.250529641535119
"339",5,1601078400,0.135198988420072,0.399028835691145
"340",6,1601078400,0.0929915899078894,0.356717011013709
"341",6,1601078400,0.088057739858769,0.384463233290155
"342",6,1601078400,0.0270231729055259,0.343385053382616
"343",7,1601078400,0.0906996668253213,0.392043991730739
"344",7,1601078400,0.136625416468348,0.385657479355359
"345",7,1601078400,0.0898366192040891,0.403663495334392
"346",8,1601078400,0.0785007211870937,0.379280901349617
"347",8,1601078400,0.0893408298436744,0.325549869995989
"348",8,1601078400,0.0621466985103349,0.366344970901937
"349",9,1601078400,0.0441002490660026,0.355639761144985
"350",9,1601078400,0.0294033828977587,0.421420359208971
"351",9,1601078400,0.00544191244351584,0.409617486674324
